Category	Subtype	Market	Tier	Source	Official	Access	CollectionMode	RecommendedFrequency	DataItems	Notes	Links
가격/거래량	실시간 현재가/체결/호가(옵션)	KR	Primary	한국투자증권 KIS Developers	Broker API	WebSocket (실시간), REST(보조)	Stream + Polling	실시간(WS) + 1~5분 보정(REST)	현재가, 체결, 호가(옵션), 누적거래량, 장상태	실시간은 WS 권장. 인증/세션/호출제한, 모의/실전 환경 차이 고려.	https://apiportal.koreainvestment.com/
가격/거래량	실시간/조회/주문(확장 가능)	KR	Secondary	키움 OpenAPI+	Broker API	OCX(윈도우) 기반 API	Event/TR 요청	요청 기반 + 실시간 등록	시세조회/잔고조회/주문 등(서비스 범위 내)	Windows/OCX 제약. 설치/로그인/버전 관리 필요.	https://www.kiwoom.com/h/customer/download/VOpenApiInfoView
가격/거래량	EOD/통계/지수/기준값(검증/보강)	KR	Secondary	KRX OpenAPI / KRX Data Marketplace	Exchange (Official)	API/데이터 서비스(일부 유료 가능)	Batch	일 1회(장마감 후) + 필요시 재수집	상장정보, 지수/시장통계, (가능 시) 공매도/투자자통계 등	실시간 피드 성격 아님. 라이선스/유료 데이터 여부 확인 필요.	https://openapi.krx.co.kr/contents/OPP/INFO/service/OPPINFO004.cmd
종목마스터	상장종목 기본정보(보조)	KR	Fallback	공공데이터포털 금융위원회_ KRX상장종목정보	Government/Open Data	OpenAPI	Batch	일 1회(갱신 주기 고려)	종목코드, 종목명, 시장구분 등 기본정보	지연 업데이트(영업일 익일 등) 가능. 실시간 용도 부적합.	https://www.data.go.kr/data/15094775/openapi.do
가격/거래량	미국 주가/분봉/참조데이터	US	Primary	Polygon.io	Commercial API	REST + WebSocket(플랜별)	Polling + Stream	스윙: 5~15분/일 1회, 데이/단타: WS	가격/거래량, 분봉, 참조데이터(티커/이벤트), (옵션) 뉴스	요금제/권한/재배포 조건 확인. 벤더 의존도 관리.	https://polygon.io/docs/rest/stocks/tickers/related-tickers
가격/거래량	미국/글로벌 주가 및 펀더멘털/대체데이터	US	Primary	Finnhub	Commercial API	REST (일부 WS)	Polling	스윙: 5~30분/일 1회	실시간/과거 주가, 펀더멘털, (옵션) 경제/이벤트 캘린더	플랜별 한도/커버리지 확인. 장기 운영 전 검증 필요.	https://finnhub.io/docs/api
가격/거래량	개발/백테스트용 저비용 대안	US	Fallback	Alpha Vantage	Commercial API	REST	Batch/Polling	일 1회 또는 제한적 폴링	주가/기술지표/일부 경제지표	호출량/지연/상용 제약 검토 필요. 프로덕션 핵심소스로는 리스크.	https://www.alphavantage.co/documentation/
뉴스	한국 뉴스 검색(헤드라인/URL)	KR	Primary	네이버 검색 API - 뉴스 검색	Platform API	REST	Polling	관심종목 1~3분, 전체 5~15분	제목, 요약, URL, 발행시각(가능 범위), 언론사(가능 범위)	검색 결과 중심. 본문 전문은 원문 URL에서 별도 수집(약관 준수). 중복/재송고 많아 클러스터링 필요.	https://developers.naver.com/docs/serviceapi/search/news/news.md
뉴스	사이트 제한 검색(공식/IR/특정 도메인)	GLOBAL	Secondary	Google Custom Search JSON API	Platform API	REST	Polling/On-demand	10~30분 또는 온디맨드	검색 결과(제목/스니펫/URL)	Programmable Search Engine 구성 필요. 비용/쿼리 관리. 일부 변경/전환 안내 존재.	https://developers.google.com/custom-search/v1/overview
뉴스	글로벌 뉴스 검색(집계형)	GLOBAL	Secondary	NewsAPI	Commercial API	REST	Polling	5~15분(속보), 스윙은 일 1회도 가능	헤드라인/기사 메타/일부 본문(소스별)	커버리지/라이선스/상용 사용 조건 확인. 한국 로컬 커버리지 품질 검증 필요.	https://newsapi.org/docs
뉴스	글로벌 이벤트/뉴스 신호(매크로/지정학 보조)	GLOBAL	Secondary	GDELT	Open Data/Project	API	Polling	5~15분(보조 신호)	뉴스/이벤트/문맥 지표(데이터셋/엔드포인트에 따름)	종목 정밀 매핑은 후처리 필요. 시장 전체 리스크 감지에 적합.	https://www.gdeltproject.org/
SNS/트윗	영향력 계정 포스트/키워드 검색	GLOBAL	Primary	X API v2	Platform API	REST (Recent Search 등)	Polling	핵심계정 1~5분, 키워드 3~10분	post text, 작성시각, 작성자, 참조관계(RT/Quote), metrics(플랜 범위)	요금제/권한/히스토리 접근 제약. Recent Search는 최근 범위 중심. 정책 변경 가능 → 추상화 필요.	https://docs.x.com/x-api/introduction
경제지표(매크로)	한국 거시/금융 통계 시계열	KR	Primary	한국은행 ECOS Open API	Central Bank (Official)	OpenAPI	Batch	일 1회 + 중요지표 발표일 재수집	금리/통화/금융/거시 시계열(표 코드 기반)	코드 매핑 테이블 필요. 빈도(D/M/Q) 혼재 → 정규화 필수.	https://ecos.bok.or.kr/api/
경제지표(매크로)	국가통계(고용/산업/소비 등)	KR	Primary	KOSIS Open API	Government Stats (Official)	OpenAPI	Batch	일 1회 또는 주 1회(지표별)	국가통계 시계열, 메타(단위/출처)	데이터셋 구조 다양 → dataset registry 기반 수집 권장.	https://kosis.kr/serviceInfo/openAPIGuide.do
경제지표(매크로)	한국 CPI 공표일정/보도자료	KR	Primary	통계청(공표일정/보도자료)	Government (Official)	Web (페이지/첨부)	Event-driven Polling	주 1회 일정 동기화 + 발표일 전후 1~5분 폴링	발표 일정, 보도자료 본문/첨부, 핵심 수치	Calendar DB와 Release DB 분리 저장. 첨부 PDF/HWP 파싱 필요.	https://mods.go.kr/menu.es?mid=b70203020000
경제지표(매크로)	한국 PPI 발표문/자료	KR	Primary	한국은행 생산자물가지수(PPI) 게시물	Central Bank (Official)	Web (페이지/첨부)	Event-driven Polling	발표일 전후 1~5분 폴링	발표문 본문/첨부, 핵심 수치/문구	발표문 문구 변화/해석은 LLM으로 구조화(보조).	https://www.bok.or.kr/portal/bbs/B0000501/list.do?menuNo=200690
경제지표(매크로)	미국 CPI/PPI/고용 등 시계열 API	US	Primary	BLS Public Data API	Government (Official)	OpenAPI	Batch + Event	일 1회 + 발표일 전후 집중	CPI/PPI 등 시계열(Series 기반)	원천기관 API. 발표값/일정은 별도 릴리즈 페이지/스케줄과 결합 권장.	https://www.bls.gov/developers/
경제지표(매크로)	미국 CPI 릴리즈 페이지/문서	US	Primary	BLS CPI News Release	Government (Official)	Web	Event-driven Polling	발표 전후 30초~2분 폴링	릴리즈 본문/표/첨부	정책/문구 변화 요약에 LLM 사용 가능. 일정 변경 공지 확인 필요.	https://www.bls.gov/news.release/cpi.htm
경제지표(매크로)	미국 GDP/PCE 등	US	Primary	BEA API / Release Schedule	Government (Official)	OpenAPI + Web/JSON/ICS	Batch + Event	일 1회 + 발표 전후 집중	GDP, PCE 등 지표값 및 릴리즈 일정	스케줄 JSON/ICS 활용 가능. 개정치(revisions) 처리 고려.	https://www.bea.gov/resources/for-developers
